,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Senior,Family,Single,Small,Medium,Large
0,0.0,3,male,22.0,1,0,7.25,S,Mr,0,2,False,True,False,False
1,1.0,1,female,38.0,1,0,71.2833,C,Mrs,0,2,False,True,False,False
2,1.0,3,female,26.0,0,0,7.925,S,Miss,0,1,True,False,False,False
3,1.0,1,female,35.0,1,0,53.1,S,Mrs,0,2,False,True,False,False
4,0.0,3,male,35.0,0,0,8.05,S,Mr,0,1,True,False,False,False
5,0.0,3,male,30.0,0,0,8.4583,Q,Mr,0,1,True,False,False,False
6,0.0,1,male,54.0,0,0,51.8625,S,Mr,0,1,True,False,False,False
7,0.0,3,male,2.0,3,1,21.075,S,Master,0,5,False,False,True,False
8,1.0,3,female,27.0,0,2,11.1333,S,Mrs,0,3,False,True,False,False
9,1.0,2,female,14.0,1,0,30.0708,C,Mrs,0,2,False,True,False,False
10,1.0,3,female,4.0,1,1,16.7,S,Miss,0,3,False,True,False,False
11,1.0,1,female,58.0,0,0,26.55,S,Miss,0,1,True,False,False,False
12,0.0,3,male,20.0,0,0,8.05,S,Mr,0,1,True,False,False,False
13,0.0,3,male,39.0,1,5,31.275,S,Mr,0,7,False,False,False,True
14,0.0,3,female,14.0,0,0,7.8542,S,Miss,0,1,True,False,False,False
15,1.0,2,female,55.0,0,0,16.0,S,Mrs,0,1,True,False,False,False
16,0.0,3,male,2.0,4,1,29.125,Q,Master,0,6,False,False,True,False
17,1.0,2,male,30.0,0,0,13.0,S,Mr,0,1,True,False,False,False
18,0.0,3,female,31.0,1,0,18.0,S,Mrs,0,2,False,True,False,False
19,1.0,3,female,35.5,0,0,7.225,C,Mrs,0,1,True,False,False,False
20,0.0,2,male,35.0,0,0,26.0,S,Mr,0,1,True,False,False,False
21,1.0,2,male,34.0,0,0,13.0,S,Mr,0,1,True,False,False,False
22,1.0,3,female,15.0,0,0,8.0292,Q,Miss,0,1,True,False,False,False
23,1.0,1,male,28.0,0,0,35.5,S,Mr,0,1,True,False,False,False
24,0.0,3,female,8.0,3,1,21.075,S,Miss,0,5,False,False,True,False
25,1.0,3,female,38.0,1,5,31.3875,S,Mrs,0,7,False,False,False,True
26,0.0,3,male,30.0,0,0,7.225,C,Mr,0,1,True,False,False,False
27,0.0,1,male,19.0,3,2,263.0,S,Mr,0,6,False,False,True,False
28,1.0,3,female,22.0,0,0,7.8792,Q,Miss,0,1,True,False,False,False
29,0.0,3,male,30.0,0,0,7.8958,S,Mr,0,1,True,False,False,False
30,0.0,1,male,40.0,0,0,27.7208,C,Mr,0,1,True,False,False,False
31,1.0,1,female,35.5,1,0,146.5208,C,Mrs,0,2,False,True,False,False
32,1.0,3,female,22.0,0,0,7.75,Q,Miss,0,1,True,False,False,False
33,0.0,2,male,66.0,0,0,10.5,S,Mr,0,1,True,False,False,False
34,0.0,1,male,28.0,1,0,82.1708,C,Mr,0,2,False,True,False,False
35,0.0,1,male,42.0,1,0,52.0,S,Mr,0,2,False,True,False,False
36,1.0,3,male,30.0,0,0,7.2292,C,Mr,0,1,True,False,False,False
37,0.0,3,male,21.0,0,0,8.05,S,Mr,0,1,True,False,False,False
38,0.0,3,female,18.0,2,0,18.0,S,Miss,0,3,False,True,False,False
39,1.0,3,female,14.0,1,0,11.2417,C,Miss,0,2,False,True,False,False
40,0.0,3,female,40.0,1,0,9.475,S,Mrs,0,2,False,True,False,False
41,0.0,2,female,27.0,1,0,21.0,S,Mrs,0,2,False,True,False,False
42,0.0,3,male,30.0,0,0,7.8958,C,Mr,0,1,True,False,False,False
43,1.0,2,female,3.0,1,2,41.5792,C,Miss,0,4,False,True,False,False
44,1.0,3,female,19.0,0,0,7.8792,Q,Miss,0,1,True,False,False,False
